Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Passengers,Serious.or.Fatal.Fraction,Aircraft.Destroyed,Make.Model
20001214X42478,Incident,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",United States,Minor,Airplane,N323EA,OTHER,L-1011,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,588.0,VMC,Other,588.0,0.0,False,OTHER L-1011
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Minor,Airplane,9VSQQ,BOEING,747,No,4.0,Turbo Fan,Other,0.0,0.0,0.0,588.0,VMC,Taxi,588.0,0.0,False,BOEING 747
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Destroyed,Airplane,N9600W,PIPER,PA-28-140,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Cruise,2.0,1.0,True,PIPER PA-28-140
20001214X44248,Incident,MIA83IA210,1983-08-21,"NORFOLK, VA",United States,Minor,Airplane,N69NA,OTHER,DC-10-10,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,289.0,VMC,Cruise,289.0,0.0,False,OTHER DC-10-10
20001214X44100,Accident,DCA83AA036,1983-08-21,"SILVANA, WA",United States,Destroyed,Airplane,N116CA,OTHER,"LEARSTAR, L-18-56",No,2.0,Reciprocating,Skydiving,11.0,2.0,0.0,13.0,VMC,Other,26.0,0.5,True,"OTHER LEARSTAR, L-18-56"
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Minor,Airplane,N898AA,BOEING,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,100.0,VMC,Taxi,100.0,0.0,False,BOEING 727-200
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Substantial,Airplane,N1882D,BEECH,C35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,1.0,0.0,False,BEECH C35
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Substantial,Airplane,N2697K,CESSNA,180K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,0.0,False,CESSNA 180K
20001214X38957,Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,Substantial,Airplane,N7994R,BEECH,99,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,1.0,0.0,False,BEECH 99
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,Substantial,Airplane,N29994,PIPER,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Approach,4.0,0.0,False,PIPER PA-23-250
